Date,Holiday,Type,Bank Holiday
2018/02/13,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2018/02/14,Ash Wednesday,Religious Date,FALSE
2018/02/14,Valentines Day,Notable Date,FALSE
2018/03/01,St David's Day,Notable Date,FALSE
2018/03/11,Mothering Sunday (Mothers Day),Notable Date,FALSE
2018/03/17,St Patricks Day,Religious Date,FALSE
2018/03/25,British Summertime (BST) Begins,Notable Date,FALSE
2018/03/29,Maundy Thursday,Religious Date,FALSE
2018/03/30,Good Friday,Bank Holiday,TRUE
2018/04/01,Easter Sunday,Religious Date,FALSE
2018/04/01,April Fool's Day,Notable Date,FALSE
2018/04/02,Easter Monday,Bank Holiday,TRUE
2018/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2018/04/23,St George's Day,Religious Date,FALSE
2018/05/07,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2018/05/28,Spring Bank Holiday,Bank Holiday,TRUE
2018/06/14,Trooping the Colour,Notable Date,FALSE
2018/06/17,Father's Day,Notable Date,FALSE
2018/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2018/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2018/08/27,Summer Bank Holiday,Bank Holiday,TRUE
2018/10/28,British Summertime (BST) Ends,Notable Date,FALSE
2018/10/31,Halloween,Notable Date,FALSE
2018/11/01,All Saints Day,Religious Date,FALSE
2018/11/05,Guy Fawkes Night,Notable Date,FALSE
2018/11/30,St Andrew's Day,Religious Date,FALSE
2018/12/25,Christmas,Bank Holiday,TRUE
2018/12/26,Boxing Day,Bank Holiday,TRUE
2019/01/01,New Year's Day,Bank Holiday,TRUE
2019/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2019/01/27,Holocaust Memorial Day,Notable Date,FALSE
2019/02/14,Valentines Day,Notable Date,FALSE
2019/03/01,St David's Day,Notable Date,FALSE
2019/03/05,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2019/03/06,Ash Wednesday,Religious Date,FALSE
2019/03/17,St Patricks Day,Religious Date,FALSE
2019/03/31,Mothering Sunday (Mothers Day),Notable Date,FALSE
